uniprot_accession	entry_name	description	protein_length_aa	hk_status	hk_source	ensg_mapping_status	uniprot_db_prefix	entry_name_from_fasta	review_status_from_fasta
Q8N1X5	YF001_HUMAN	Uncharacterized protein FLJ37310 OS=Homo sapiens OX=9606 PE=1 SV=1	172	non-HK		not_mapped_to_ensg	sp	YF001_HUMAN	Swiss-Prot reviewed
Q8N3U1	YS014_HUMAN	Putative uncharacterized protein LOC400692 OS=Homo sapiens OX=9606 PE=2 SV=2	123	non-HK		not_mapped_to_ensg	sp	YS014_HUMAN	Swiss-Prot reviewed
Q8NFD4	YI018_HUMAN	Uncharacterized protein FLJ76381 OS=Homo sapiens OX=9606 PE=2 SV=1	153	non-HK		not_mapped_to_ensg	sp	YI018_HUMAN	Swiss-Prot reviewed
Q8TAT8	YK045_HUMAN	Putative uncharacterized protein LOC644613 OS=Homo sapiens OX=9606 PE=5 SV=2	98	non-HK		not_mapped_to_ensg	sp	YK045_HUMAN	Swiss-Prot reviewed
Q96MF0	YO028_HUMAN	Putative uncharacterized protein LOC100506887 OS=Homo sapiens OX=9606 PE=5 SV=2	132	non-HK		not_mapped_to_ensg	sp	YO028_HUMAN	Swiss-Prot reviewed
A6NC97	ARB2P_HUMAN	Putative protein ARB2BP OS=Homo sapiens OX=9606 GN=ARB2BP PE=5 SV=3	362	non-HK		not_mapped_to_ensg	sp	ARB2P_HUMAN	Swiss-Prot reviewed
O76042	ERIT1_HUMAN	Putative uncharacterized protein encoded by ERC2-IT1 OS=Homo sapiens OX=9606 GN=ERC2-IT1 PE=5 SV=2	136	non-HK		not_mapped_to_ensg	sp	ERIT1_HUMAN	Swiss-Prot reviewed
P01850	TRBC1_HUMAN	T cell receptor beta constant 1 OS=Homo sapiens OX=9606 GN=TRBC1 PE=1 SV=4	176	non-HK		not_mapped_to_ensg	sp	TRBC1_HUMAN	Swiss-Prot reviewed
P0CJ72	HMN5_HUMAN	Humanin-like 5 OS=Homo sapiens OX=9606 GN=MTRNR2L5 PE=2 SV=1	24	non-HK		not_mapped_to_ensg	sp	HMN5_HUMAN	Swiss-Prot reviewed
Q8NGV5	O13D1_HUMAN	Olfactory receptor 13D1 OS=Homo sapiens OX=9606 GN=OR13D1 PE=2 SV=3	346	non-HK		not_mapped_to_ensg	sp	O13D1_HUMAN	Swiss-Prot reviewed
Q9H1L0	MI1HG_HUMAN	Uncharacterized protein MIR1-1HG OS=Homo sapiens OX=9606 GN=MIR1-1HG PE=4 SV=1	117	non-HK		not_mapped_to_ensg	sp	MI1HG_HUMAN	Swiss-Prot reviewed
P01860	IGHG3_HUMAN	Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=3	446	non-HK		not_mapped_to_ensg	sp	IGHG3_HUMAN	Swiss-Prot reviewed
Q8N2C9	UMAS1_HUMAN	Uncharacterized protein UMODL1-AS1 OS=Homo sapiens OX=9606 GN=UMODL1-AS1 PE=1 SV=3	162	non-HK		not_mapped_to_ensg	sp	UMAS1_HUMAN	Swiss-Prot reviewed
Q8NG78	OR8G5_HUMAN	Olfactory receptor 8G5 OS=Homo sapiens OX=9606 GN=OR8G5 PE=2 SV=2	346	non-HK		not_mapped_to_ensg	sp	OR8G5_HUMAN	Swiss-Prot reviewed
Q8NG94	O11H1_HUMAN	Olfactory receptor 11H1 OS=Homo sapiens OX=9606 GN=OR11H1 PE=3 SV=3	326	non-HK		not_mapped_to_ensg	sp	O11H1_HUMAN	Swiss-Prot reviewed
Q9H1B4	NXF5_HUMAN	Nuclear RNA export factor 5 OS=Homo sapiens OX=9606 GN=NXF5 PE=2 SV=1	397	non-HK		not_mapped_to_ensg	sp	NXF5_HUMAN	Swiss-Prot reviewed
P61576	REC04_HUMAN	Endogenous retrovirus group K member 104 Rec protein OS=Homo sapiens OX=9606 GN=HERV-K104 PE=1 SV=1	105	non-HK		not_mapped_to_ensg	sp	REC04_HUMAN	Swiss-Prot reviewed
Q6P474	PDXD2_HUMAN	Putative pyridoxal-dependent decarboxylase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PDXDC2P PE=5 SV=3	469	non-HK		not_mapped_to_ensg	sp	PDXD2_HUMAN	Swiss-Prot reviewed
Q9QC07	POK18_HUMAN	Endogenous retrovirus group K member 18 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-18 PE=3 SV=2	812	non-HK		not_mapped_to_ensg	sp	POK18_HUMAN	Swiss-Prot reviewed
O96002	CX001_HUMAN	Putative transmembrane protein CXorf1 OS=Homo sapiens OX=9606 GN=CXorf1 PE=5 SV=1	111	non-HK		not_mapped_to_ensg	sp	CX001_HUMAN	Swiss-Prot reviewed
Q96M19	CL067_HUMAN	Putative transmembrane protein encoded by LINC00477 OS=Homo sapiens OX=9606 GN=LINC00477 PE=5 SV=1	166	non-HK		not_mapped_to_ensg	sp	CL067_HUMAN	Swiss-Prot reviewed
Q9H195	MUC3B_HUMAN	Mucin-3B OS=Homo sapiens OX=9606 GN=MUC3B PE=1 SV=3	13477	non-HK		not_mapped_to_ensg	sp	MUC3B_HUMAN	Swiss-Prot reviewed
Q9P1A2	PP4RL_HUMAN	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like OS=Homo sapiens OX=9606 GN=PPP4R1L PE=5 SV=3	415	non-HK		not_mapped_to_ensg	sp	PP4RL_HUMAN	Swiss-Prot reviewed
A6NI72	NCF1B_HUMAN	Putative neutrophil cytosol factor 1B OS=Homo sapiens OX=9606 GN=NCF1B PE=5 SV=2	391	non-HK		not_mapped_to_ensg	sp	NCF1B_HUMAN	Swiss-Prot reviewed
O43930	PRKY_HUMAN	Putative serine/threonine-protein kinase PRKY OS=Homo sapiens OX=9606 GN=PRKY PE=5 SV=1	277	non-HK		not_mapped_to_ensg	sp	PRKY_HUMAN	Swiss-Prot reviewed
Q14695	K0087_HUMAN	Uncharacterized protein KIAA0087 OS=Homo sapiens OX=9606 GN=KIAA0087 PE=2 SV=1	138	non-HK		not_mapped_to_ensg	sp	K0087_HUMAN	Swiss-Prot reviewed
Q15695	U2AFL_HUMAN	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1 OS=Homo sapiens OX=9606 GN=ZRSR2P1 PE=1 SV=2	479	non-HK		not_mapped_to_ensg	sp	U2AFL_HUMAN	Swiss-Prot reviewed
Q52M58	CN177_HUMAN	Testis-specific protein LINC02914 OS=Homo sapiens OX=9606 GN=LINC02914 PE=1 SV=1	125	non-HK		not_mapped_to_ensg	sp	CN177_HUMAN	Swiss-Prot reviewed
Q7RTY3	PRS45_HUMAN	Putative serine protease 45 OS=Homo sapiens OX=9606 GN=PRSS45P PE=5 SV=1	260	non-HK		not_mapped_to_ensg	sp	PRS45_HUMAN	Swiss-Prot reviewed
Q8NH08	O10AC_HUMAN	Olfactory receptor 10AC1 OS=Homo sapiens OX=9606 GN=OR10AC1 PE=3 SV=2	325	non-HK		not_mapped_to_ensg	sp	O10AC_HUMAN	Swiss-Prot reviewed
Q8NH57	O52P1_HUMAN	Olfactory receptor 52P1 OS=Homo sapiens OX=9606 GN=OR52P1 PE=3 SV=2	321	non-HK		not_mapped_to_ensg	sp	O52P1_HUMAN	Swiss-Prot reviewed
Q8WWF6	DNJB3_HUMAN	DnaJ homolog subfamily B member 3 OS=Homo sapiens OX=9606 GN=DNAJB3 PE=1 SV=1	145	non-HK		not_mapped_to_ensg	sp	DNJB3_HUMAN	Swiss-Prot reviewed
Q9UI72	YE014_HUMAN	Putative uncharacterized protein PRO0255 OS=Homo sapiens OX=9606 GN=PRO0255 PE=5 SV=1	69	non-HK		not_mapped_to_ensg	sp	YE014_HUMAN	Swiss-Prot reviewed
Q9Y471	CMAH_HUMAN	Inactive cytidine monophosphate-N-acetylneuraminic acid hydroxylase OS=Homo sapiens OX=9606 GN=CMAHP PE=1 SV=4	501	non-HK		not_mapped_to_ensg	sp	CMAH_HUMAN	Swiss-Prot reviewed
P0DTU3	TRAR2_HUMAN	T cell receptor alpha chain MC.7.G5 OS=Homo sapiens OX=9606 GN=TRA PE=1 SV=1	275	non-HK		not_mapped_to_ensg	sp	TRAR2_HUMAN	Swiss-Prot reviewed
Q0D2K5	EGFEM_HUMAN	Putative EGF-like and EMI domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EGFEM1P PE=5 SV=1	195	non-HK		not_mapped_to_ensg	sp	EGFEM_HUMAN	Swiss-Prot reviewed
Q3SY05	CA157_HUMAN	Putative uncharacterized protein encoded by LINC00303 OS=Homo sapiens OX=9606 GN=LINC00303 PE=5 SV=2	128	non-HK		not_mapped_to_ensg	sp	CA157_HUMAN	Swiss-Prot reviewed
Q5VT28	FAM27_HUMAN	Protein FAM27A/B/C OS=Homo sapiens OX=9606 GN=FAM27B PE=3 SV=1	67	non-HK		not_mapped_to_ensg	sp	FAM27_HUMAN	Swiss-Prot reviewed
Q7RTT4	SSX8_HUMAN	Putative protein SSX8 OS=Homo sapiens OX=9606 GN=SSX8P PE=5 SV=2	187	non-HK		not_mapped_to_ensg	sp	SSX8_HUMAN	Swiss-Prot reviewed
A6PVC2	TTLL8_HUMAN	Protein monoglycylase TTLL8 OS=Homo sapiens OX=9606 GN=TTLL8 PE=2 SV=4	850	non-HK		not_mapped_to_ensg	sp	TTLL8_HUMAN	Swiss-Prot reviewed
P0CF74	IGLC6_HUMAN	Immunoglobulin lambda constant 6 OS=Homo sapiens OX=9606 GN=IGLC6 PE=1 SV=1	106	non-HK		not_mapped_to_ensg	sp	IGLC6_HUMAN	Swiss-Prot reviewed
C0HMA1	P155_HUMAN	HSPA8-interacting micropeptide miPEP155 OS=Homo sapiens OX=9606 GN=MIR155HG PE=1 SV=1	17	non-HK		not_mapped_to_ensg	sp	P155_HUMAN	Swiss-Prot reviewed
P01834	IGKC_HUMAN	Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2	107	non-HK		not_mapped_to_ensg	sp	IGKC_HUMAN	Swiss-Prot reviewed
P0DN80	OR5H8_HUMAN	Olfactory receptor 5H8 OS=Homo sapiens OX=9606 GN=OR5H8 PE=3 SV=1	308	non-HK		not_mapped_to_ensg	sp	OR5H8_HUMAN	Swiss-Prot reviewed
Q6ZQV5	ZN788_HUMAN	Putative KRAB domain-containing protein ZNF788 OS=Homo sapiens OX=9606 GN=ZNF788P PE=5 SV=3	82	non-HK		not_mapped_to_ensg	sp	ZN788_HUMAN	Swiss-Prot reviewed
Q8N1V8	CJ085_HUMAN	Uncharacterized protein encoded by LINC01561 OS=Homo sapiens OX=9606 GN=LINC01561 PE=5 SV=1	128	non-HK		not_mapped_to_ensg	sp	CJ085_HUMAN	Swiss-Prot reviewed
A6NM43	TCPQL_HUMAN	Putative T-complex protein 1 subunit theta-like 1 OS=Homo sapiens OX=9606 GN=CCT8L1P PE=5 SV=1	557	non-HK		not_mapped_to_ensg	sp	TCPQL_HUMAN	Swiss-Prot reviewed
P47883	OR3A4_HUMAN	Putative olfactory receptor 3A4 OS=Homo sapiens OX=9606 GN=OR3A4P PE=5 SV=4	348	non-HK		not_mapped_to_ensg	sp	OR3A4_HUMAN	Swiss-Prot reviewed
Q06250	WIT1_HUMAN	Putative Wilms tumor upstream neighbor 1 gene protein OS=Homo sapiens OX=9606 GN=WT1-AS PE=5 SV=2	92	non-HK		not_mapped_to_ensg	sp	WIT1_HUMAN	Swiss-Prot reviewed
A6NMB1	SIG16_HUMAN	Sialic acid-binding Ig-like lectin 16 OS=Homo sapiens OX=9606 GN=SIGLEC16 PE=2 SV=3	481	non-HK		not_mapped_to_ensg	sp	SIG16_HUMAN	Swiss-Prot reviewed
A8MTI9	PRS47_HUMAN	Putative serine protease 47 OS=Homo sapiens OX=9606 GN=PRSS47P PE=5 SV=2	375	non-HK		not_mapped_to_ensg	sp	PRS47_HUMAN	Swiss-Prot reviewed
Q6NVV9	ADAM5_HUMAN	Putative disintegrin and metalloproteinase domain-containing protein 5 OS=Homo sapiens OX=9606 GN=ADAM5 PE=5 SV=2	412	non-HK		not_mapped_to_ensg	sp	ADAM5_HUMAN	Swiss-Prot reviewed
Q9UH64	NSGX_HUMAN	Putative uncharacterized protein CDKN2A-AS1 OS=Homo sapiens OX=9606 GN=CDKN2A-AS1 PE=5 SV=1	79	non-HK		not_mapped_to_ensg	sp	NSGX_HUMAN	Swiss-Prot reviewed
P0DMR3	AT8OS_HUMAN	Putative protein ATXN8OS OS=Homo sapiens OX=9606 GN=ATXN8OS PE=5 SV=1	200	non-HK		not_mapped_to_ensg	sp	AT8OS_HUMAN	Swiss-Prot reviewed
P0DTU4	TRBR2_HUMAN	T cell receptor beta chain MC.7.G5 OS=Homo sapiens OX=9606 GN=TRB PE=1 SV=1	315	non-HK		not_mapped_to_ensg	sp	TRBR2_HUMAN	Swiss-Prot reviewed
Q96KT0	FAAS1_HUMAN	Uncharacterized protein FAM167A-AS1 OS=Homo sapiens OX=9606 GN=FAM167A-AS1 PE=4 SV=1	104	non-HK		not_mapped_to_ensg	sp	FAAS1_HUMAN	Swiss-Prot reviewed
Q96R84	OR1F2_HUMAN	Putative olfactory receptor 1F2 OS=Homo sapiens OX=9606 GN=OR1F2P PE=5 SV=2	312	non-HK		not_mapped_to_ensg	sp	OR1F2_HUMAN	Swiss-Prot reviewed
A0A0C5B5G6	MOTSC_HUMAN	Mitochondrial-derived peptide MOTS-c OS=Homo sapiens OX=9606 GN=MT-RNR1 PE=1 SV=1	16	non-HK		not_mapped_to_ensg	sp	MOTSC_HUMAN	Swiss-Prot reviewed
Q8IZF7	AGRF2_HUMAN	Putative adhesion G protein-coupled receptor F2P OS=Homo sapiens OX=9606 GN=ADGRF2P PE=5 SV=1	708	non-HK		not_mapped_to_ensg	sp	AGRF2_HUMAN	Swiss-Prot reviewed
Q8N0U6	CF218_HUMAN	Putative uncharacterized protein encoded by LINC00518 OS=Homo sapiens OX=9606 GN=LINC00518 PE=5 SV=1	118	non-HK		not_mapped_to_ensg	sp	CF218_HUMAN	Swiss-Prot reviewed
Q8NGE7	OR9K2_HUMAN	Olfactory receptor 9K2 OS=Homo sapiens OX=9606 GN=OR9K2 PE=2 SV=2	335	non-HK		not_mapped_to_ensg	sp	OR9K2_HUMAN	Swiss-Prot reviewed
Q8NGY7	O10J6_HUMAN	Putative olfactory receptor 10J6 OS=Homo sapiens OX=9606 GN=OR10J6P PE=5 SV=1	276	non-HK		not_mapped_to_ensg	sp	O10J6_HUMAN	Swiss-Prot reviewed
Q8WXQ3	CN183_HUMAN	Putative uncharacterized protein encoded by LINC01599 OS=Homo sapiens OX=9606 GN=LINC01599 PE=2 SV=1	324	non-HK		not_mapped_to_ensg	sp	CN183_HUMAN	Swiss-Prot reviewed
P0CJ88	DU4L5_HUMAN	Double homeobox protein 4-like protein 5 OS=Homo sapiens OX=9606 GN=DUX4L5 PE=3 SV=1	424	non-HK		not_mapped_to_ensg	sp	DU4L5_HUMAN	Swiss-Prot reviewed
Q5T6R2	TPT2L_HUMAN	Putative phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2P1 OS=Homo sapiens OX=9606 GN=TPTE2P1 PE=5 SV=1	138	non-HK		not_mapped_to_ensg	sp	TPT2L_HUMAN	Swiss-Prot reviewed
O95744	PM2P2_HUMAN	Putative postmeiotic segregation increased 2-like protein 2 OS=Homo sapiens OX=9606 GN=PMS2P2 PE=5 SV=1	297	non-HK		not_mapped_to_ensg	sp	PM2P2_HUMAN	Swiss-Prot reviewed
Q13670	PM2PB_HUMAN	Putative postmeiotic segregation increased 2-like protein 11 OS=Homo sapiens OX=9606 GN=PMS2P11 PE=5 SV=1	270	non-HK		not_mapped_to_ensg	sp	PM2PB_HUMAN	Swiss-Prot reviewed
Q9P1J3	DHAS1_HUMAN	Putative uncharacterized protein DHRS4-AS1 OS=Homo sapiens OX=9606 GN=DHRS4-AS1 PE=5 SV=1	65	non-HK		not_mapped_to_ensg	sp	DHAS1_HUMAN	Swiss-Prot reviewed
P13985	HRES1_HUMAN	Putative HTLV-1-related endogenous sequence OS=Homo sapiens OX=9606 GN=HRES1 PE=5 SV=1	223	non-HK		not_mapped_to_ensg	sp	HRES1_HUMAN	Swiss-Prot reviewed
P58512	CU067_HUMAN	Uncharacterized protein encoded by LINC01547 OS=Homo sapiens OX=9606 GN=LINC01547 PE=2 SV=1	204	non-HK		not_mapped_to_ensg	sp	CU067_HUMAN	Swiss-Prot reviewed
Q6DRA6	H2B2D_HUMAN	Putative histone H2B type 2-D OS=Homo sapiens OX=9606 GN=H2BC19P PE=5 SV=3	164	non-HK		not_mapped_to_ensg	sp	H2B2D_HUMAN	Swiss-Prot reviewed
Q6XLA1	CSC2A_HUMAN	Protein CASC2, isoform 3 OS=Homo sapiens OX=9606 GN=CASC2 PE=2 SV=1	102	non-HK		not_mapped_to_ensg	sp	CSC2A_HUMAN	Swiss-Prot reviewed
Q6ZN68	D19P2_HUMAN	Putative C-mannosyltransferase DPY19L2P2 OS=Homo sapiens OX=9606 GN=DPY19L2P2 PE=5 SV=2	376	non-HK		not_mapped_to_ensg	sp	D19P2_HUMAN	Swiss-Prot reviewed
Q8NCQ2	CNAS1_HUMAN	Uncharacterized protein CSNK1G2-AS1 OS=Homo sapiens OX=9606 GN=CSNK1G2-AS1 PE=2 SV=2	148	non-HK		not_mapped_to_ensg	sp	CNAS1_HUMAN	Swiss-Prot reviewed
Q8NG84	O2AK2_HUMAN	Olfactory receptor 2AK2 OS=Homo sapiens OX=9606 GN=OR2AK2 PE=2 SV=2	335	non-HK		not_mapped_to_ensg	sp	O2AK2_HUMAN	Swiss-Prot reviewed
A6NFC9	OR2W5_HUMAN	Putative olfactory receptor 2W5 OS=Homo sapiens OX=9606 GN=OR2W5P PE=5 SV=1	320	non-HK		not_mapped_to_ensg	sp	OR2W5_HUMAN	Swiss-Prot reviewed
P47888	OR3A3_HUMAN	Olfactory receptor 3A3 OS=Homo sapiens OX=9606 GN=OR3A3 PE=2 SV=3	321	non-HK		not_mapped_to_ensg	sp	OR3A3_HUMAN	Swiss-Prot reviewed
Q0VDD5	CQ091_HUMAN	Putative uncharacterized protein encoded by MIR22HG OS=Homo sapiens OX=9606 GN=MIR22HG PE=5 SV=1	57	non-HK		not_mapped_to_ensg	sp	CQ091_HUMAN	Swiss-Prot reviewed
Q52LC2	VAS1L_HUMAN	V-type proton ATPase subunit S1-like protein OS=Homo sapiens OX=9606 GN=ATP6AP1L PE=2 SV=1	224	non-HK		not_mapped_to_ensg	sp	VAS1L_HUMAN	Swiss-Prot reviewed
Q6IEE8	SN12L_HUMAN	Schlafen family member 12-like OS=Homo sapiens OX=9606 GN=SLFN12L PE=2 SV=4	588	non-HK		not_mapped_to_ensg	sp	SN12L_HUMAN	Swiss-Prot reviewed
Q6W349	CD011_HUMAN	Putative uncharacterized protein encoded by LINC00575 OS=Homo sapiens OX=9606 GN=LINC00575 PE=5 SV=1	94	non-HK		not_mapped_to_ensg	sp	CD011_HUMAN	Swiss-Prot reviewed
Q9H4R4	CT191_HUMAN	Putative nuclear receptor corepressor 1-like protein NCOR1P1 OS=Homo sapiens OX=9606 GN=NCOR1P1 PE=5 SV=1	102	non-HK		not_mapped_to_ensg	sp	CT191_HUMAN	Swiss-Prot reviewed
A8MVU1	NCF1C_HUMAN	Putative neutrophil cytosol factor 1C OS=Homo sapiens OX=9606 GN=NCF1C PE=5 SV=1	366	non-HK		not_mapped_to_ensg	sp	NCF1C_HUMAN	Swiss-Prot reviewed
Q2M3A8	MRAS1_HUMAN	Putative uncharacterized protein MRGPRG-AS1 OS=Homo sapiens OX=9606 GN=MRGPRG-AS1 PE=5 SV=1	158	non-HK		not_mapped_to_ensg	sp	MRAS1_HUMAN	Swiss-Prot reviewed
Q3ZLR7	SP201_HUMAN	Transcription factor SPT20 homolog-like 1 OS=Homo sapiens OX=9606 GN=SUPT20HL1 PE=1 SV=2	823	non-HK		not_mapped_to_ensg	sp	SP201_HUMAN	Swiss-Prot reviewed
Q5T1J5	CHCH9_HUMAN	Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial OS=Homo sapiens OX=9606 GN=CHCHD2P9 PE=5 SV=1	151	non-HK		not_mapped_to_ensg	sp	CHCH9_HUMAN	Swiss-Prot reviewed
Q6IF36	O8G2P_HUMAN	Olfactory receptor 8G2 OS=Homo sapiens OX=9606 GN=OR8G2P PE=2 SV=1	304	non-HK		not_mapped_to_ensg	sp	O8G2P_HUMAN	Swiss-Prot reviewed
Q8IUI4	S29P2_HUMAN	Putative protein SNX29P2 OS=Homo sapiens OX=9606 GN=SNX29P2 PE=5 SV=2	249	non-HK		not_mapped_to_ensg	sp	S29P2_HUMAN	Swiss-Prot reviewed
Q8NDY4	MDS2_HUMAN	Myelodysplastic syndrome 2 translocation-associated protein OS=Homo sapiens OX=9606 GN=MDS2 PE=2 SV=1	140	non-HK		not_mapped_to_ensg	sp	MDS2_HUMAN	Swiss-Prot reviewed
P0CJ69	HMN2_HUMAN	Humanin-like 2 OS=Homo sapiens OX=9606 GN=MTRNR2L2 PE=2 SV=1	28	non-HK		not_mapped_to_ensg	sp	HMN2_HUMAN	Swiss-Prot reviewed
Q71RG6	YH006_HUMAN	Putative chemokine-related protein FP248 OS=Homo sapiens OX=9606 GN=FP248 PE=5 SV=1	208	non-HK		not_mapped_to_ensg	sp	YH006_HUMAN	Swiss-Prot reviewed
Q8NGG1	OR8J2_HUMAN	Olfactory receptor 8J2 OS=Homo sapiens OX=9606 GN=OR8J2 PE=3 SV=2	315	non-HK		not_mapped_to_ensg	sp	OR8J2_HUMAN	Swiss-Prot reviewed
O14603	PRY_HUMAN	PTPN13-like protein, Y-linked OS=Homo sapiens OX=9606 GN=PRY PE=1 SV=2	147	non-HK		not_mapped_to_ensg	sp	PRY_HUMAN	Swiss-Prot reviewed
P52743	ZN137_HUMAN	Putative zinc finger protein 137 OS=Homo sapiens OX=9606 GN=ZNF137P PE=5 SV=1	207	non-HK		not_mapped_to_ensg	sp	ZN137_HUMAN	Swiss-Prot reviewed
Q14397	GCKR_HUMAN	Glucokinase regulatory protein OS=Homo sapiens OX=9606 GN=GCKR PE=1 SV=6	625	non-HK		not_mapped_to_ensg	sp	GCKR_HUMAN	Swiss-Prot reviewed
Q96MT4	CF195_HUMAN	Uncharacterized protein encoded by LINC01600 OS=Homo sapiens OX=9606 GN=LINC01600 PE=2 SV=2	127	non-HK		not_mapped_to_ensg	sp	CF195_HUMAN	Swiss-Prot reviewed
A6NF01	P121B_HUMAN	Putative nuclear envelope pore membrane protein POM 121B OS=Homo sapiens OX=9606 GN=POM121B PE=5 SV=2	834	non-HK		not_mapped_to_ensg	sp	P121B_HUMAN	Swiss-Prot reviewed
Q8TBR4	ST3L4_HUMAN	Putative STAG3-like protein 4 OS=Homo sapiens OX=9606 GN=STAG3L4 PE=5 SV=1	150	non-HK		not_mapped_to_ensg	sp	ST3L4_HUMAN	Swiss-Prot reviewed
Q9BWJ2	RHAS1_HUMAN	Putative uncharacterized protein encoded by RHPN1-AS1 OS=Homo sapiens OX=9606 GN=RHPN1-AS1 PE=5 SV=1	59	non-HK		not_mapped_to_ensg	sp	RHAS1_HUMAN	Swiss-Prot reviewed
P0DTW3	HV384_HUMAN	Probable non-functional immunoglobulin heavy variable 1-38-4 OS=Homo sapiens OX=9606 GN=IGHV1-38-4 PE=1 SV=1	117	non-HK		not_mapped_to_ensg	sp	HV384_HUMAN	Swiss-Prot reviewed
Q16609	LPAL2_HUMAN	Putative apolipoprotein(a)-like protein 2 OS=Homo sapiens OX=9606 GN=LPAL2 PE=5 SV=1	132	non-HK		not_mapped_to_ensg	sp	LPAL2_HUMAN	Swiss-Prot reviewed
Q5T7N8	F27D1_HUMAN	Protein FAM27D1 OS=Homo sapiens OX=9606 GN=FAM27D1 PE=3 SV=2	215	non-HK		not_mapped_to_ensg	sp	F27D1_HUMAN	Swiss-Prot reviewed
Q3KNT7	NSN5B_HUMAN	Putative NOL1/NOP2/Sun domain family member 5B OS=Homo sapiens OX=9606 GN=NSUN5P1 PE=5 SV=1	163	non-HK		not_mapped_to_ensg	sp	NSN5B_HUMAN	Swiss-Prot reviewed
Q4KMX7	F106A_HUMAN	Protein FAM106A OS=Homo sapiens OX=9606 GN=FAM106A PE=2 SV=2	169	non-HK		not_mapped_to_ensg	sp	F106A_HUMAN	Swiss-Prot reviewed
Q8N7U9	CQ054_HUMAN	Putative uncharacterized protein encoded by LINC00469 OS=Homo sapiens OX=9606 GN=LINC00469 PE=5 SV=1	141	non-HK		not_mapped_to_ensg	sp	CQ054_HUMAN	Swiss-Prot reviewed
A8MT19	RHN2P_HUMAN	Putative rhophilin-2-like protein RHPN2P1 OS=Homo sapiens OX=9606 GN=RHPN2P1 PE=5 SV=2	583	non-HK		not_mapped_to_ensg	sp	RHN2P_HUMAN	Swiss-Prot reviewed
O00370	LORF2_HUMAN	LINE-1 retrotransposable element ORF2 protein OS=Homo sapiens OX=9606 PE=1 SV=1	1275	non-HK		not_mapped_to_ensg	sp	LORF2_HUMAN	Swiss-Prot reviewed
P43359	MAGA5_HUMAN	Putative melanoma-associated antigen 5P OS=Homo sapiens OX=9606 GN=MAGEA5P PE=5 SV=1	124	non-HK		not_mapped_to_ensg	sp	MAGA5_HUMAN	Swiss-Prot reviewed
P63135	POK7_HUMAN	Endogenous retrovirus group K member 7 Pol protein OS=Homo sapiens OX=9606 GN=ERVK-7 PE=1 SV=1	1459	non-HK		not_mapped_to_ensg	sp	POK7_HUMAN	Swiss-Prot reviewed
Q3C1V9	YK041_HUMAN	Putative uncharacterized protein ENSP00000334305 OS=Homo sapiens OX=9606 PE=5 SV=2	767	non-HK		not_mapped_to_ensg	sp	YK041_HUMAN	Swiss-Prot reviewed
Q499Y3	YJ016_HUMAN	Putative uncharacterized protein C10orf88-like OS=Homo sapiens OX=9606 PE=2 SV=2	187	non-HK		not_mapped_to_ensg	sp	YJ016_HUMAN	Swiss-Prot reviewed
Q5BKY6	YV018_HUMAN	Putative uncharacterized protein DKFZp434K191 OS=Homo sapiens OX=9606 PE=1 SV=1	102	non-HK		not_mapped_to_ensg	sp	YV018_HUMAN	Swiss-Prot reviewed
Q5VTU8	AT5EL_HUMAN	ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1	51	non-HK		not_mapped_to_ensg	sp	AT5EL_HUMAN	Swiss-Prot reviewed
Q6ZQY7	YO026_HUMAN	Putative uncharacterized protein FLJ46792 OS=Homo sapiens OX=9606 PE=2 SV=1	126	non-HK		not_mapped_to_ensg	sp	YO026_HUMAN	Swiss-Prot reviewed
Q6ZR54	YN009_HUMAN	Putative uncharacterized protein FLJ46641 OS=Homo sapiens OX=9606 PE=5 SV=1	194	non-HK		not_mapped_to_ensg	sp	YN009_HUMAN	Swiss-Prot reviewed
Q6ZS49	YQ050_HUMAN	Putative uncharacterized protein FLJ45831 OS=Homo sapiens OX=9606 PE=5 SV=1	121	non-HK		not_mapped_to_ensg	sp	YQ050_HUMAN	Swiss-Prot reviewed
Q6ZUT4	YL014_HUMAN	Putative uncharacterized protein FLJ43343 OS=Homo sapiens OX=9606 PE=5 SV=1	128	non-HK		not_mapped_to_ensg	sp	YL014_HUMAN	Swiss-Prot reviewed
Q6ZVU0	YK022_HUMAN	Putative uncharacterized protein FLJ42102 OS=Homo sapiens OX=9606 PE=5 SV=1	165	non-HK		not_mapped_to_ensg	sp	YK022_HUMAN	Swiss-Prot reviewed
Q7RTZ1	OVCH2_HUMAN	Ovochymase-2 OS=Homo sapiens OX=9606 GN=OVCH2 PE=1 SV=2	564	non-HK		not_mapped_to_ensg	sp	OVCH2_HUMAN	Swiss-Prot reviewed
