species	gene_id	gene_name	genetype	chromosome	start	end	gene_length_bp	strand	description	source_file
escherichia_coli_k12_mg1655	b0087	mraY	protein_coding	Chromosome	96002	97084	1083	+	phospho-N-acetylmuramoyl-pentapeptide-transferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0088	murD	protein_coding	Chromosome	97087	98403	1317	+	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0089	ftsW	protein_coding	Chromosome	98403	99647	1245	+	putative lipid II flippase FtsW	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0090	murG	protein_coding	Chromosome	99644	100711	1068	+	N-acetylglucosaminyl transferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0091	murC	protein_coding	Chromosome	100765	102240	1476	+	UDP-N-acetylmuramate--L-alanine ligase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0092	ddlB	protein_coding	Chromosome	102233	103153	921	+	D-alanine--D-alanine ligase B	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0093	ftsQ	protein_coding	Chromosome	103155	103985	831	+	cell division protein FtsQ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0094	ftsA	protein_coding	Chromosome	103982	105244	1263	+	cell division protein FtsA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0095	ftsZ	protein_coding	Chromosome	105305	106456	1152	+	cell division protein FtsZ	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0096	lpxC	protein_coding	Chromosome	106557	107474	918	+	UDP-3-O-acyl-N-acetylglucosamine deacetylase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0097	secM	protein_coding	Chromosome	107705	108217	513	+	SecA translation regulator	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0098	secA	protein_coding	Chromosome	108279	110984	2706	+	protein translocation ATPase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0099	mutT	protein_coding	Chromosome	111044	111433	390	+	8-oxo-dGTP diphosphatase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0101	yacG	protein_coding	Chromosome	111649	111846	198	-	DNA gyrase inhibitor YacG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0102	zapD	protein_coding	Chromosome	111856	112599	744	-	cell division factor ZapD	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0103	coaE	protein_coding	Chromosome	112599	113219	621	-	dephospho-CoA kinase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b4727	yacM	protein_coding	Chromosome	113244	113288	45	+	protein YacM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0104	guaC	protein_coding	Chromosome	113444	114487	1044	+	GMP reductase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0106	hofC	protein_coding	Chromosome	114522	115724	1203	-	inner membrane protein HofC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0107	hofB	protein_coding	Chromosome	115714	117099	1386	-	T2SSE family protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0108	ppdD	protein_coding	Chromosome	117109	117549	441	-	prepilin peptidase-dependent protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0109	nadC	protein_coding	Chromosome	117752	118645	894	-	quinolinate phosphoribosyltransferase (decarboxylating)	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0110	ampD	protein_coding	Chromosome	118733	119284	552	+	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0111	ampE	protein_coding	Chromosome	119281	120135	855	+	protein AmpE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0112	aroP	protein_coding	Chromosome	120178	121551	1374	-	aromatic amino acid:H(+) symporter AroP	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0113	pdhR	protein_coding	Chromosome	122092	122856	765	+	DNA-binding transcriptional dual regulator PdhR	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0114	aceE	protein_coding	Chromosome	123017	125680	2664	+	pyruvate dehydrogenase E1 component	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0115	aceF	protein_coding	Chromosome	125695	127587	1893	+	pyruvate dehydrogenase, E2 subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0116	lpd	protein_coding	Chromosome	127912	129336	1425	+	lipoamide dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0117	yacH	protein_coding	Chromosome	129407	131260	1854	-	DUF3300 domain-containing protein YacH	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0118	acnB	protein_coding	Chromosome	131615	134212	2598	+	hypothetical protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0119	yacL	protein_coding	Chromosome	134388	134750	363	+	UPF0231 family protein YacL	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0120	speD	protein_coding	Chromosome	134788	135582	795	-	S-adenosylmethionine decarboxylase proenzyme	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0121	speE	protein_coding	Chromosome	135598	136464	867	-	spermidine synthase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0122	yacC	protein_coding	Chromosome	136570	136917	348	-	putative lipoprotein YacC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0123	cueO	protein_coding	Chromosome	137083	138633	1551	+	cuprous oxidase/multicopper oxidase with role in copper homeostasis	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0124	gcd	protein_coding	Chromosome	138835	141225	2391	-	quinoprotein glucose dehydrogenase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0125	hpt	protein_coding	Chromosome	141431	141967	537	+	hypoxanthine phosphoribosyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0126	can	protein_coding	Chromosome	142008	142670	663	-	carbonic anhydrase 2	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0127	yadG	protein_coding	Chromosome	142779	143705	927	+	putative ABC transporter ATP-binding protein YadG	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0128	yadH	protein_coding	Chromosome	143702	144472	771	+	putative ABC transporter membrane subunit YadH	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0129	yadI	protein_coding	Chromosome	144577	145017	441	+	putative PTS enzyme IIA component YadI	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0130	yadE	protein_coding	Chromosome	145081	146310	1230	+	putative polysaccharide deacetylase lipoprotein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0131	panD	protein_coding	Chromosome	146314	146694	381	-	aspartate 1-decarboxylase proenzyme	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0132	rpnC	protein_coding	Chromosome	146968	147870	903	+	recombination-promoting nuclease RpnC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0133	panC	protein_coding	Chromosome	147944	148795	852	-	pantothenate synthetase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0134	panB	protein_coding	Chromosome	148807	149601	795	-	3-methyl-2-oxobutanoate hydroxymethyltransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0135	yadC	protein_coding	Chromosome	149715	150953	1239	-	fimbrial tip-adhesin YadC	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0136	yadK	protein_coding	Chromosome	151003	151599	597	-	putative fimbrial protein YadK	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0137	yadL	protein_coding	Chromosome	151626	152231	606	-	putative fimbrial protein YadL	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0138	yadM	protein_coding	Chromosome	152243	152812	570	-	putative fimbrial protein YadM	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0139	htrE	protein_coding	Chromosome	152829	155426	2598	-	putative fimbrial usher protein HtrE	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0140	yadV	protein_coding	Chromosome	155461	156201	741	-	putative fimbrial chaperone YadV	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0141	yadN	protein_coding	Chromosome	156299	156883	585	-	putative fimbrial protein YadN	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0142	folK	protein_coding	Chromosome	157253	157732	480	-	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0143	pcnB	protein_coding	Chromosome	157729	159126	1398	-	poly(A) polymerase I	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0144	gluQ	protein_coding	Chromosome	159186	160112	927	-	glutamyl-Q tRNA(Asp) synthetase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0145	dksA	protein_coding	Chromosome	160149	160604	456	-	RNA polymerase-binding transcription factor DksA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0146	sfsA	protein_coding	Chromosome	160782	161486	705	-	putative DNA-binding transcriptional regulator of maltose metabolism	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0147	thpR	protein_coding	Chromosome	161501	162031	531	-	RNA 2',3'-cyclic phosphodiesterase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0148	hrpB	protein_coding	Chromosome	162105	164534	2430	+	putative ATP-dependent RNA helicase HrpB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0149	mrcB	protein_coding	Chromosome	164730	167264	2535	+	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0150	fhuA	protein_coding	Chromosome	167484	169727	2244	+	ferrichrome outer membrane transporter/phage receptor	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0151	fhuC	protein_coding	Chromosome	169778	170575	798	+	iron(III) hydroxamate ABC transporter ATP binding subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0152	fhuD	protein_coding	Chromosome	170575	171465	891	+	iron(III) hydroxamate ABC transporter periplasmic binding protein	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0153	fhuB	protein_coding	Chromosome	171462	173444	1983	+	iron(III) hydroxamate ABC transporter membrane subunit	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0154	hemL	protein_coding	Chromosome	173602	174882	1281	-	glutamate-1-semialdehyde aminotransferase	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
escherichia_coli_k12_mg1655	b0155	clcA	protein_coding	Chromosome	175107	176528	1422	+	chloride:H(+) antiporter ClcA	data/raw/ensembl_genomes/bacteria/escherichia_coli_k12_mg1655/release-62/Escherichia_coli_str_k_12_substr_mg1655_gca_000005845.ASM584v2.62.chromosome.Chromosome.gff3.gz
